update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,return_bolt_mean,return_bolt_std,return_bolt_min,return_bolt_max,return_vanilla_mean,return_vanilla_std,return_vanilla_min,return_vanilla_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
2963,1071316,7585280,745.8239783661819,10821,0.9444269366901029,0.11216871246046256,0.6625000238418579,1.373437523841858,0.04941628166389736,0.13140776680846328,0.0,0.45781248807907104,0.8950106534598903,0.0702149193470718,0.4515624940395355,0.9859374761581421,1.0,7.465909090909091,4.993060783901548,1.0,39.0,0.08814058192074298,17.96865038871765,-0.0922444898635149,2.741038291156292,1.2773932814598083,4.195651173591614
2964,1071678,7587840,724.6906561404224,10825,0.9364252411528845,0.097155316672487,0.6625000238418579,1.39453125,0.03769854987194525,0.11582545158032236,0.0,0.46484375,0.8987266925158421,0.06661939170523375,0.5921875238418579,0.9859374761581421,1.0,7.201657458563536,4.73737898882603,1.0,29.0,0.07699403036385774,17.772980403900146,-0.08565153526142238,2.411194159090519,1.119175672531128,3.399162530899048
2965,1072034,7590400,726.1518252163763,10828,0.9458150466841259,0.11052125611198092,0.71875,1.3523437976837158,0.04610911137267445,0.128473153365409,0.0,0.4507812559604645,0.8997059342231644,0.06444589770538575,0.5640624761581421,0.9859374761581421,1.0,7.132022471910112,4.582819327472889,1.0,31.0,0.06859413129277528,17.981050491333008,-0.15938793262466788,2.496586522459984,1.088219314813614,6.263316631317139
2966,1072379,7592960,724.3489791880389,10832,0.9404076092485069,0.1026285301807058,0.6625000238418579,1.3523437976837158,0.04141304337460062,0.12175241570322255,0.0,0.4507812559604645,0.8989945644917695,0.06335930776661523,0.620312511920929,0.9859374761581421,1.0,7.182608695652174,4.505550731886785,1.0,27.0,0.06263656783849,18.06569528579712,-0.023976220376789568,2.6313184797763824,1.2910566926002502,7.329743146896362
2967,1072742,7595520,733.9398045159088,10836,0.9481125191551923,0.11256048836935217,0.71875,1.373437523841858,0.05177987245817158,0.13478134513459986,0.0,0.45781248807907104,0.8963326452192196,0.06276278553734616,0.606249988079071,0.9859374761581421,1.0,7.371900826446281,4.463131301559253,1.0,28.0,0.06887189513072371,18.224672842025758,-0.15487482813186942,2.4362780451774597,1.062575489282608,5.763254880905151
2968,1073089,7598080,743.4277879810196,10839,0.9443196140723544,0.09942428036267563,0.690625011920929,1.3312499523162842,0.042149225298197195,0.12229991211115267,0.0,0.4437499940395355,0.9021703889459286,0.06359388664845135,0.620312511920929,0.9859374761581421,1.0,6.956772334293948,4.522231853481304,1.0,27.0,0.0716978183016181,18.129871368408203,0.09787162197753788,2.560612417757511,1.377460777759552,5.837872505187988
2969,1073447,7600640,734.1797831433499,10842,0.9386653280790958,0.11209862433898847,0.0,1.3523437976837158,0.04229224847848189,0.12163105247549869,0.0,0.4507812559604645,0.8963730787265234,0.0852071904008135,0.0,0.9859374761581421,0.9972067039106145,7.349162011173185,5.858516874445766,1.0,64.0,0.07179790679365397,18.04787473678589,0.11570082604885103,3.676107421517372,1.9530367851257324,7.366823673248291
2970,1073806,7603200,739.084608778802,10846,0.9457760287194531,0.11102668292277311,0.6484375,1.373437523841858,0.04527115249036082,0.12823890703731697,0.0,0.45781248807907104,0.9005048743197512,0.05862350009571503,0.6484375,0.9859374761581421,1.0,7.075208913649025,4.168782164315361,1.0,25.0,0.07292611906304955,18.259713411331177,0.052196767670102416,2.4243944644927975,1.263664722442627,3.3355315923690796
2971,1074170,7605760,739.2200578657951,10849,0.9511675829743291,0.10930509141329688,0.7328125238418579,1.39453125,0.04952781598319064,0.1323504396454386,0.0,0.46484375,0.90163976756426,0.06216822153236983,0.606249988079071,0.9859374761581421,1.0,6.9945054945054945,4.420851259018495,1.0,28.0,0.07499685529619456,18.305297565460208,0.0028202452696859844,2.3787565812468525,1.1914486289024353,3.6694133281707764
2972,1074503,7608320,742.6536720362463,10853,0.9359328089891611,0.11898938325087827,0.0,1.3312499523162842,0.042652027250768186,0.12345145964347065,0.0,0.4437499940395355,0.8932807824096164,0.08295089054670851,0.0,0.9859374761581421,0.996996996996997,7.5675675675675675,5.677448600542411,1.0,64.0,0.09771739635616541,17.806367301940917,0.31004361175000666,3.8401495441794395,2.2291412949562073,4.867023229598999
2973,1074852,7610880,732.9084109039036,10856,0.9446386985245954,0.115351294685054,0.46562498807907104,1.3312499523162842,0.052263162709922026,0.1347003806225151,0.0,0.4437499940395355,0.8923755373517558,0.07025626277213406,0.46562498807907104,0.9859374761581421,1.0,7.653295128939828,4.996000896591611,1.0,38.0,0.07196916770190001,18.118143558502197,0.14637842709198592,3.0400358736515045,1.665676772594452,6.382423400878906
2974,1075187,7613440,748.5727503919101,10860,0.9400349807383409,0.1088544188378643,0.606249988079071,1.373437523841858,0.043090018763471,0.12455334997231565,0.0,0.45781248807907104,0.8969449628644914,0.06444650329697227,0.606249988079071,0.9859374761581421,1.0,7.3283582089552235,4.582862494970338,1.0,28.0,0.07574448175728321,18.00745491981506,0.10470977686345577,2.0264628469944,1.117183804512024,5.713675618171692
2975,1075513,7616000,742.2685267660094,10863,0.9472368668559139,0.11647676282460062,0.614062488079071,1.310156226158142,0.06077214325863891,0.14206272560206595,0.0,0.43671876192092896,0.8864647241457839,0.0750296945635832,0.40937501192092896,0.9859374761581421,1.0,8.07361963190184,5.335444947503015,1.0,42.0,0.08120932206511497,17.963899326324466,-0.05507684862241148,2.344513940811157,1.116368055343628,7.857931137084961
2976,1075855,7618560,735.5441938182443,10867,0.9335069454204269,0.09584081636890997,0.676562488079071,1.373437523841858,0.038317799916741446,0.11596535692048944,0.0,0.45781248807907104,0.8951891462008158,0.0683811703143352,0.5218750238418579,0.9859374761581421,1.0,7.453216374269005,4.862661011326711,1.0,34.0,0.08123982101678848,17.815255928039548,0.003337779454886919,1.8605874121189117,0.9328190386295319,4.258741617202759
2977,1076202,7621120,738.7438651111887,10870,0.9502791805294818,0.11953948467638488,0.5640624761581421,1.3523437976837158,0.05463346538351317,0.13850865778198923,0.0,0.4507812559604645,0.8956457137717981,0.06551062670057697,0.5640624761581421,0.9859374761581421,1.0,7.420749279538905,4.658533307790183,1.0,31.0,0.08431681469082833,18.059924793243407,0.026362704625353214,3.677422577142716,1.864230990409851,10.372943878173828
2978,1076530,7623680,753.051731804238,10874,0.940679784955048,0.11461149577305091,0.606249988079071,1.3523437976837158,0.05129334939325728,0.1326606740802571,0.0,0.4507812559604645,0.8893864341988796,0.07652914303129586,0.578125,0.9859374761581421,1.0,7.865853658536586,5.442072316731504,1.0,30.0,0.08772288849577309,17.9476815700531,0.0033445932902395684,2.9223996579647062,1.4636673331260681,5.344528436660767
2979,1076882,7626240,743.8334603950262,10877,0.9454833995550871,0.10756660048980347,0.5296875238418579,1.373437523841858,0.047716175502335485,0.1288595182001204,0.0,0.45781248807907104,0.8977672241797502,0.07152202215944645,0.3531250059604645,0.9859374761581421,1.0,7.269886363636363,5.086010446294232,1.0,46.0,0.07813406549394131,18.015150117874146,0.030631679482758044,2.9120013520121573,1.4858511686325073,3.996994972229004
2980,1077211,7628800,744.589953010902,10880,0.9486892112844983,0.12218011874990205,0.71875,1.3312499523162842,0.05618825998712093,0.13993829813477168,0.0,0.4437499940395355,0.8925009518408847,0.06842524644282111,0.578125,0.9859374761581421,1.0,7.644376899696049,4.865795291776305,1.0,30.0,0.08598020188510418,18.004541921615598,0.09569171825423836,2.8654412835836407,1.527552604675293,5.187156081199646
2981,1077541,7631360,746.1099487110214,10884,0.9329498104976885,0.10814253968956179,0.5921875238418579,1.3312499523162842,0.043660037987159964,0.12354238375129202,0.0,0.4437499940395355,0.8892897732330091,0.0735476795479195,0.5078125,0.9859374761581421,1.0,7.872727272727273,5.2300572293799545,1.0,35.0,0.08014888688921928,17.948305702209474,0.13652183068916202,2.8326492458581924,1.5520449876785278,5.620683908462524
2982,1077873,7633920,745.9764720529206,10887,0.9569841863879238,0.12059124537371368,0.676562488079071,1.310156226158142,0.06372364448854723,0.1467395399928282,0.0,0.43671876192092896,0.8932605419891426,0.06693734862299325,0.5078125,0.9859374761581421,1.0,7.590361445783133,4.75998922894983,1.0,35.0,0.08042596010491251,18.31777024269104,-0.09081347081810236,2.7609878152608873,1.288876235485077,3.3648382425308228
2983,1078219,7636480,745.2163333508694,10891,0.9373306547630729,0.10816963515516893,0.6625000238418579,1.3312499523162842,0.04275876076924318,0.12383572822653084,0.0,0.4437499940395355,0.8945718936492942,0.06490421044140438,0.6625000238418579,0.9859374761581421,1.0,7.497109826589595,4.6154105741835085,1.0,24.0,0.06643120544031263,17.98620762825012,0.010942460317164664,2.4329984679818155,1.2267773747444153,7.443325638771057
2984,1078554,7639040,738.7038162125309,10894,0.9450676318424851,0.11643289193561544,0.7046874761581421,1.3523437976837158,0.05156483205396738,0.13487523072272242,0.0,0.4507812559604645,0.8935028006781393,0.06411626432209074,0.5921875238418579,0.9859374761581421,1.0,7.573134328358209,4.55937879015389,1.0,29.0,0.07444824874401093,18.157366847991945,0.07154787024483085,2.9121820658445357,1.5268943905830383,5.7745583057403564
2985,1078888,7641600,738.151198852607,10898,0.951008141219259,0.11127272355686108,0.6484375,1.39453125,0.060350393196065985,0.141254817108231,0.0,0.46484375,0.8906577484693355,0.0745078065772057,0.47968751192092896,0.9859374761581421,1.0,7.775449101796407,5.298332887346162,1.0,37.0,0.07646866282448173,18.287907981872557,0.01181315891444683,3.0922506719827654,1.5571739077568054,6.159733057022095
2986,1079227,7644160,750.0247092676029,10901,0.9378940818232421,0.11136780588692623,0.0,1.39453125,0.040691832789277606,0.12037047888643855,0.0,0.46484375,0.8972022494735268,0.07969839552677256,0.0,0.9859374761581421,0.9970501474926253,7.289085545722714,5.439847954809307,1.0,64.0,0.07090965118259192,17.986194896697995,0.28564552329480647,3.867262402176857,2.218567728996277,9.731264114379883
2987,1079571,7646720,743.0483184731766,10905,0.9453283969399541,0.10989247994567411,0.48750001192092896,1.373437523841858,0.05263671868069227,0.13371272658839464,0.0,0.45781248807907104,0.8926916787790697,0.07466669816811675,0.32499998807907104,0.9859374761581421,1.0,7.630813953488372,5.309631817287724,1.0,48.0,0.06958661023527384,18.154246187210084,-0.015627638529986144,2.755289447307587,1.3613214194774628,5.349345684051514
2988,1079919,7649280,731.9284544457213,10908,0.9437410216564419,0.1051138614075309,0.6484375,1.3523437976837158,0.04625987801058539,0.12726986714125282,0.0,0.4507812559604645,0.8974811446735229,0.06734731113503079,0.5921875238418579,0.9859374761581421,1.0,7.290229885057471,4.789142048044542,1.0,29.0,0.06732559818774461,18.229941415786744,0.11981540201231837,3.377127012610435,1.807705581188202,7.756890296936035
2989,1080248,7651840,739.3603422202311,10912,0.9391432382777831,0.11439248847151426,0.550000011920929,1.3523437976837158,0.048480243306029534,0.13073638155092504,0.0,0.4507812559604645,0.8906629953340919,0.06770093058714102,0.550000011920929,0.9859374761581421,1.0,7.775075987841945,4.814288391298406,1.0,32.0,0.07476882012560963,18.006431102752686,0.22953126234933735,2.454937514662743,1.4562524557113647,11.29855465888977
2990,1080585,7654400,738.0321709556027,10915,0.9445961623588018,0.11460716390102856,0.40937501192092896,1.39453125,0.04883392053471121,0.13156708045302257,0.0,0.46484375,0.895762240143841,0.06733108231238946,0.40937501192092896,0.9859374761581421,1.0,7.41246290801187,4.787988078423822,1.0,42.0,0.08233245145529508,17.917182779312135,0.23427646630443633,3.90192556977272,2.1844159364700317,7.697526693344116
2991,1080930,7656960,733.3918849185818,10918,0.9319859607496124,0.11794724050364885,0.0,1.3312499523162842,0.04008831511373105,0.11908078206899861,0.0,0.4437499940395355,0.8918976453767307,0.08995245367838776,0.0,0.9859374761581421,0.9971014492753624,7.666666666666667,6.200670058852024,1.0,64.0,0.0730163156054914,17.75503182411194,0.25570792369544504,4.019671228528023,2.264813542366028,3.3059357404708862
2992,1081274,7659520,744.2768737984472,10922,0.9438976184573284,0.12196003885441395,0.0,1.373437523841858,0.046918150384065715,0.12969282134103816,0.0,0.45781248807907104,0.8969794686797053,0.07833961630706343,0.0,0.9859374761581421,0.997093023255814,7.305232558139535,5.342608070261971,1.0,64.0,0.09048195397481322,17.665078449249265,0.1827008791267872,3.6962108671665193,2.029901444911957,3.3109103441238403
2993,1081605,7662080,739.3874788296001,10925,0.943079682815471,0.13457411797289417,0.0,1.373437523841858,0.05295506029690861,0.13580342938404616,0.0,0.45781248807907104,0.8901246226085997,0.09462340434446348,0.0,0.9859374761581421,0.9939577039274925,7.770392749244713,6.335663657796304,1.0,64.0,0.07495607864111661,18.044475030899047,0.05522821731865406,2.6059021443128585,1.3574297428131104,3.4066414833068848
2994,1081932,7664640,738.4624458640149,10929,0.9454964639943674,0.12016568431028217,0.6484375,1.3312499523162842,0.05700735861737429,0.1397131583875554,0.0,0.4437499940395355,0.8884891069263493,0.07171079077581359,0.620312511920929,0.9859374761581421,1.0,7.9296636085626915,5.099433998392977,1.0,27.0,0.06762817767448723,18.26590042114258,0.11632287809625268,3.1045184314250944,1.667905867099762,4.80824875831604
2995,1082265,7667200,737.564650480992,10932,0.9477055183760039,0.11595159442747852,0.71875,1.373437523841858,0.05703828812719466,0.13955365975534248,0.0,0.45781248807907104,0.8906672294433411,0.06826020029214078,0.606249988079071,0.9859374761581421,1.0,7.774774774774775,4.8540587357936715,1.0,28.0,0.08042980432510376,18.215730381011966,0.08352429270744323,2.5664188116788864,1.365929365158081,5.196954250335693
